"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"GTXI","GTx, Inc.","0.86","122047602.62","n/a","United States","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gtxi",
"GBNK","Guaranty Bancorp","18.05","393357476.9","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/gbnk",
"GFED","Guaranty Federal Bancshares, Inc.","16.8","74458053.6","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/gfed",
"GES","Guess?, Inc.","13.93","1175359936.66","n/a","United States","1996","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/ges",
"GGE","Guggenheim Enhanced Equity Strategy Fund","15.983","79818958.153","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gge",
"GEQ","Guggenheim Equal Weight Enhanced Equity Income Fund","16.15","141700907.5","n/a","United States","2011","n/a","n/a","http://www.nasdaq.com/symbol/geq",
"GOF","Guggenheim Strategic Opportunities Fund","19.48","360026515.92","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gof",
"GBAB","Guggenheim Taxable Municipal Managed Duration Trst","22.26","387686993.82","n/a","United States","2010","n/a","n/a","http://www.nasdaq.com/symbol/gbab",
"GUID","Guidance Software, Inc.","5.66","182885920","n/a","United States","2006","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/guid",
"GWRE","Guidewire Software, Inc.","58.34","4262812439.56","n/a","United States","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gwre",
"GIFI","Gulf Island Fabrication, Inc.","10.24","149836871.68","n/a","United States","1997","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gifi",
"GLF","GulfMark Offshore, Inc.","1.4","37570786.4","n/a","United States","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/glf",
"GPOR","Gulfport Energy Corporation","25.96","3254531655.32","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gpor",
"GWGH","GWG Holdings, Inc","8.72","52121532.8","n/a","United States","2014","Finance","Life Insurance","http://www.nasdaq.com/symbol/gwgh",
"GYRO","Gyrodyne , LLC","18.55","27503714","n/a","United States","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/gyro",
"HEES","H&E Equipment Services, Inc.","15.66","555335859.6","n/a","United States","2006","n/a","n/a","http://www.nasdaq.com/symbol/hees",
"HRB","H&R Block, Inc.","23.49","5146505093.52","n/a","United States","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/hrb",
"FUL","H. B. Fuller Company","43.91","2210559988.34","n/a","United States","n/a","Basic Industries","Home Furnishings","http://www.nasdaq.com/symbol/ful",
"HAE","Haemonetics Corporation","34.37","1763091019.34","n/a","United States","1991","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/hae",
"HK","Halcon Resources Corporation","10.02","36142901.52","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/hk",
"HK.WS","Halcon Resources Corporation","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hk.ws",
"HNRG","Hallador Energy Company","8.72","255068720","n/a","United States","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/hnrg",
